Geneid	sampleA1	sampleA2	sampleA3	sampleA4	sampleA5	sampleA6	sampleB1	sampleB2	sampleB3	sampleB4	sampleB5	sampleB6	sampleC1	sampleC2	sampleC3	sampleC4	sampleC5	sampleC6
ENSG00000223972	18	6	17	68	12	17	23	8	11	19	21	9	21	2	9	8	33	10
ENSG00000227232	44	17	42	162	17	44	43	52	28	52	72	21	43	25	37	13	109	21
ENSG00000243485	0	0	1	1	0	0	0	1	2	1	1	2	1	0	0	1	0	0
ENSG00000237613	0	0	0	3	0	0	0	0	1	0	1	0	0	1	1	0	0	0
ENSG00000268020	1	0	17	7	1	3	0	4	0	5	3	1	2	0	2	0	4	2
ENSG00000240361	2	0	11	7	0	2	3	1	5	2	2	1	4	1	3	1	8	5
ENSG00000186092	0	0	2	1	0	2	0	0	1	2	3	0	2	0	0	0	2	1
ENSG00000238009	7	1	23	36	6	8	4	4	5	10	3	2	9	2	4	7	16	10
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	25	1	13	111	12	30	21	27	17	27	46	19	35	8	7	2	49	17
ENSG00000237683	28	2	26	94	10	27	19	21	18	22	42	20	35	2	10	11	45	16
ENSG00000268903	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	1	1	7	2	4	1	2	1	2	0	4	1	0	2	0	1	3
ENSG00000241860	6	1	8	27	3	10	8	18	4	11	6	3	6	0	5	4	14	1
ENSG00000222623	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000241599	1	0	4	9	0	0	0	2	1	7	2	0	7	1	3	0	1	1
ENSG00000228463	17	8	32	74	8	27	17	8	12	26	32	19	33	7	16	7	32	11
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	3	1	9	7	2	5	1	0	2	4	2	0	4	0	3	1	3	2
ENSG00000250575	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	3	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	3	1
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	8	0	7	23	5	6	5	2	1	25	3	2	5	0	2	1	12	3
ENSG00000235146	7	0	6	7	1	1	2	4	0	2	8	0	1	1	0	0	13	1
ENSG00000239664	3	0	2	13	2	2	2	3	1	6	7	2	1	0	1	0	6	0
ENSG00000230021	5	0	6	20	2	5	4	3	1	6	5	3	4	2	2	3	12	2
ENSG00000223659	6	0	3	14	1	1	1	0	1	7	1	1	1	0	1	0	13	0
ENSG00000225972	398	87	264	157	3	58	13631	298	295	702	31	21	166	223	101	266	5754	92
ENSG00000225630	5485	3671	7190	2793	69	2961	4281	9921	4318	9716	811	940	2584	4238	3024	10686	10055	13791
ENSG00000237973	1472	1063	1374	870	16	366	530	2521	1461	1842	135	143	370	968	1093	1752	1911	910
ENSG00000229344	86	24	125	55	4	23	122	91	33	157	21	18	95	50	39	131	132	30
ENSG00000240409	45	11	81	24	3	33	80	43	15	67	11	8	50	19	23	59	90	12
ENSG00000248527	18999	11558	22515	11897	325	19386	20739	46402	18468	28541	3912	3183	10305	17107	12277	27981	27041	9055
ENSG00000198744	92	30	66	63	2	66	66	1250	54	140	9	13	54	39	24	85	141	37
ENSG00000268663	4	1	1	6	1	1	5	1	1	1	3	3	0	0	1	0	9	1
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000229376	16	5	13	48	8	16	6	11	4	15	17	7	14	2	6	2	32	7
ENSG00000224956	13	2	3	18	3	5	1	12	4	12	3	2	10	7	4	2	19	5
ENSG00000235373	14	1	9	26	2	7	4	4	5	10	7	2	11	6	1	2	20	9
ENSG00000223181	1	0	0	4	0	2	1	0	0	2	0	0	0	0	0	0	2	1
ENSG00000240618	0	0	3	4	0	0	0	1	0	1	0	0	1	0	1	1	0	0
ENSG00000229905	2	2	6	13	0	0	2	0	0	5	3	0	1	0	1	4	4	1
ENSG00000228327	25	4	29	57	4	15	8	62	13	30	8	8	20	11	18	7	40	8
ENSG00000237491	78	11	74	174	16	47	26	93	24	74	24	24	45	23	26	22	131	30
ENSG00000230092	4	0	2	8	2	2	0	1	1	3	3	6	3	4	3	0	8	1
ENSG00000269831	4	0	1	4	2	4	1	1	0	1	1	1	4	0	0	0	6	0
ENSG00000240453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177757	33	1	22	42	5	10	9	22	6	14	17	9	12	5	14	2	50	5
ENSG00000225880	24	6	24	63	3	22	10	51	7	38	5	11	18	16	12	19	48	7
